id;bimanual_dexterity;depth_perception;efficiency;tissue_handling;rater;GRS
baialt;;;;;2;
blaas;;;;;2;
blamp;1.0;1.0;1.0;2.0;2;5.0
bloown;3.0;3.0;3.0;2.0;2;11.0
blulls;;;;;2;
chaur;3.0;2.0;1.0;2.0;2;8.0
chieuly;3.0;2.0;2.0;2.0;2;9.0
cieuft;3.0;3.0;3.0;2.0;2;11.0
cleery;2.0;2.0;2.0;1.0;2;7.0
cleews;2.0;2.0;2.0;2.0;2;8.0
cleiath;3.0;2.0;3.0;3.0;2;11.0
creild;;;;;2;
cycleegs;;;;;2;
cycleott;2.0;2.0;1.0;1.0;2;6.0
draants;4.0;4.0;3.0;3.0;2;14.0
draoght;3.0;2.0;2.0;3.0;2;10.0
drauerth;;;;;2;
dynink;2.0;3.0;3.0;2.0;2;10.0
dynuiens;3.0;3.0;3.0;3.0;2;12.0
fify;5.0;5.0;4.0;5.0;2;19.0
fleiagh;;;;;2;
flioft;3.0;4.0;3.0;4.0;2;14.0
foott;3.0;3.0;2.0;3.0;2;11.0
gheiwn;;;;;2;
glaions;3.0;3.0;3.0;3.0;2;12.0
gnaind;3.0;2.0;3.0;3.0;2;11.0
gnieubs;3.0;2.0;2.0;2.0;2;9.0
gniups;3.0;3.0;3.0;2.0;2;11.0
graiopp;1.0;2.0;2.0;1.0;2;6.0
grught;2.0;2.0;2.0;1.0;2;7.0
guodly;3.0;3.0;3.0;2.0;2;11.0
haams;;;;;2;
heong;3.0;3.0;4.0;4.0;2;14.0
hiib;2.0;2.0;3.0;2.0;2;9.0
hydrioms;4.0;3.0;3.0;3.0;2;13.0
hyoaz;1.0;2.0;2.0;1.0;2;6.0
jioupt;4.0;2.0;3.0;3.0;2;12.0
kaiann;2.0;2.0;2.0;2.0;2;8.0
keft;2.0;2.0;2.0;1.0;2;7.0
kheeght;3.0;2.0;2.0;3.0;2;10.0
klaany;;;;;2;
klaiawn;1.0;1.0;1.0;2.0;2;5.0
knauely;1.0;1.0;1.0;1.0;2;4.0
kneausly;;;;;2;
kreausp;;;;;2;
kreox;2.0;2.0;2.0;2.0;2;8.0
kweel;2.0;2.0;2.0;2.0;2;8.0
kwiern;3.0;2.0;1.0;2.0;2;8.0
kwointz;3.0;2.0;2.0;1.0;2;8.0
laucks;2.0;2.0;3.0;2.0;2;9.0
leorn;1.0;1.0;1.0;1.0;2;4.0
leunn;3.0;2.0;2.0;3.0;2;10.0
mcclaehn;4.0;4.0;3.0;3.0;2;14.0
mcclaiahl;2.0;3.0;2.0;3.0;2;10.0
mccoests;3.0;3.0;2.0;2.0;2;10.0
mccraioss;3.0;1.0;1.0;2.0;2;7.0
mccrauects;4.0;3.0;3.0;3.0;2;13.0
mccriaogs;;;;;2;
mccriuys;2.0;1.0;1.0;2.0;2;6.0
mcfoic;;;;;2;
mcfuard;;;;;2;
mcfurry;2.0;3.0;3.0;3.0;2;11.0
mcgieucy;2.0;2.0;1.0;1.0;2;6.0
mcgiis;3.0;3.0;3.0;3.0;2;12.0
mcgoort;3.0;2.0;2.0;2.0;2;9.0
mckuarts;3.0;2.0;2.0;1.0;2;8.0
mclecks;2.0;1.0;1.0;1.0;2;5.0
mcluild;3.0;2.0;3.0;3.0;2;11.0
mcneiacts;3.0;2.0;3.0;2.0;2;10.0
niaorn;2.0;3.0;3.0;3.0;2;11.0
niuh;3.0;3.0;2.0;2.0;2;10.0
noedy;3.0;3.0;3.0;3.0;2;12.0
noon;4.0;3.0;4.0;3.0;2;14.0
pheurts;3.0;2.0;1.0;1.0;2;7.0
physaamp;3.0;3.0;2.0;3.0;2;11.0
physelt;3.0;2.0;2.0;2.0;2;9.0
physieurr;3.0;2.0;2.0;1.0;2;8.0
physuigs;2.0;1.0;2.0;2.0;2;7.0
ploand;4.0;4.0;4.0;3.0;2;15.0
pluly;3.0;3.0;3.0;2.0;2;11.0
prairm;1.0;2.0;1.0;1.0;2;5.0
proirts;2.0;2.0;2.0;1.0;2;7.0
psychuez;4.0;3.0;4.0;3.0;2;14.0
puofy;1.0;2.0;1.0;1.0;2;5.0
qiaoght;2.0;2.0;2.0;1.0;2;7.0
raelly;2.0;1.0;1.0;2.0;2;6.0
reiants;4.0;3.0;4.0;3.0;2;14.0
rhooll;3.0;3.0;3.0;3.0;2;12.0
ruos;3.0;2.0;2.0;2.0;2;9.0
scham;2.0;1.0;1.0;2.0;2;6.0
schiouns;;;;;2;
schliouct;;;;;2;
schminds;3.0;3.0;2.0;3.0;2;11.0
schnaisch;3.0;1.0;1.0;3.0;2;8.0
schniirf;4.0;4.0;3.0;4.0;2;15.0
schnoows;2.0;2.0;2.0;1.0;2;7.0
schrieusk;4.0;4.0;4.0;4.0;2;16.0
schwaiants;2.0;1.0;1.0;2.0;2;6.0
schwaurg;3.0;3.0;3.0;3.0;2;12.0
schwooh;;;;;2;
schwuasp;4.0;3.0;3.0;4.0;2;14.0
sciasly;5.0;5.0;4.0;5.0;2;19.0
scoocts;3.0;2.0;2.0;1.0;2;8.0
scrauerly;3.0;2.0;3.0;2.0;2;10.0
scrauf;3.0;3.0;4.0;3.0;2;13.0
sheaungs;3.0;3.0;2.0;2.0;2;10.0
sheirly;3.0;2.0;1.0;1.0;2;7.0
sheop;3.0;3.0;2.0;2.0;2;10.0
shreehn;3.0;2.0;2.0;3.0;2;10.0
shrorry;4.0;3.0;3.0;2.0;2;12.0
skit;3.0;3.0;4.0;3.0;2;13.0
sloaw;;;;;2;
spiv;1.0;1.0;1.0;2.0;2;5.0
spleows;4.0;3.0;2.0;2.0;2;11.0
spliaosch;3.0;3.0;3.0;2.0;2;11.0
sploesp;3.0;2.0;2.0;2.0;2;9.0
sproty;2.0;1.0;1.0;2.0;2;6.0
spuohn;;;;;2;
sqiasm;1.0;1.0;1.0;2.0;2;5.0
sreint;;;;;2;
sruicts;3.0;2.0;2.0;3.0;2;10.0
stauends;3.0;3.0;1.0;3.0;2;10.0
straipt;2.0;2.0;2.0;2.0;2;8.0
swaengly;3.0;2.0;2.0;2.0;2;9.0
symboety;2.0;1.0;1.0;2.0;2;6.0
szaotts;;;;;2;
szaupt;3.0;2.0;3.0;3.0;2;11.0
szeaudly;2.0;1.0;1.0;2.0;2;6.0
szow;;;;;2;
teiart;3.0;3.0;3.0;1.0;2;10.0
thraann;2.0;3.0;1.0;2.0;2;8.0
thrait;2.0;1.0;1.0;1.0;2;5.0
toerly;;;;;2;
treiapt;;;;;2;
trieth;3.0;1.0;1.0;2.0;2;7.0
tweangly;2.0;3.0;2.0;3.0;2;10.0
twiords;3.0;3.0;2.0;2.0;2;10.0
twiuty;3.0;2.0;2.0;2.0;2;9.0
twuach;5.0;4.0;4.0;4.0;2;17.0
typain;5.0;5.0;4.0;4.0;2;18.0
typuabs;3.0;3.0;3.0;2.0;2;11.0
veauks;3.0;3.0;3.0;3.0;2;12.0
viocs;3.0;3.0;3.0;2.0;2;11.0
voah;;;;;2;
woem;3.0;4.0;3.0;4.0;2;14.0
xaiosk;1.0;1.0;1.0;1.0;2;4.0
xiack;1.0;1.0;1.0;1.0;2;4.0
xiects;4.0;4.0;4.0;5.0;2;17.0
yuorts;2.0;1.0;2.0;2.0;2;7.0
