id;bimanual_dexterity;depth_perception;efficiency;tissue_handling;rater;GRS
braioth;2.0;2.0;2.0;2.0;2;8.0
buietts;2.0;2.0;3.0;2.0;2;9.0
caib;3.0;3.0;3.0;3.0;2;12.0
caiocts;5.0;4.0;5.0;5.0;2;19.0
cheish;5.0;5.0;5.0;5.0;2;20.0
chuolly;5.0;5.0;4.0;4.0;2;18.0
cieng;5.0;5.0;5.0;5.0;2;20.0
clatch;5.0;4.0;5.0;5.0;2;19.0
clualy;3.0;4.0;3.0;3.0;2;13.0
cluongly;4.0;3.0;4.0;4.0;2;15.0
crieugy;2.0;2.0;1.0;2.0;2;7.0
cyclaecs;5.0;4.0;5.0;5.0;2;19.0
cycloegh;4.0;4.0;5.0;4.0;2;17.0
cycloeys;3.0;3.0;3.0;4.0;2;13.0
diech;4.0;4.0;3.0;3.0;2;14.0
driaont;2.0;2.0;1.0;1.0;2;6.0
dwiaols;5.0;5.0;5.0;4.0;2;19.0
dwoosm;2.0;3.0;2.0;3.0;2;10.0
dynaaw;2.0;2.0;2.0;2.0;2;8.0
dyniabs;3.0;3.0;4.0;3.0;2;13.0
dyniaots;5.0;5.0;5.0;5.0;2;20.0
dynieusts;4.0;4.0;3.0;3.0;2;14.0
dyniuds;4.0;5.0;4.0;4.0;2;17.0
fieud;3.0;4.0;3.0;2.0;2;12.0
fliully;4.0;3.0;4.0;3.0;2;14.0
frauetz;5.0;5.0;5.0;5.0;2;20.0
frutt;4.0;5.0;4.0;5.0;2;18.0
gieuz;3.0;4.0;3.0;3.0;2;13.0
gleentz;3.0;3.0;2.0;3.0;2;11.0
haebs;5.0;5.0;5.0;5.0;2;20.0
hraemp;5.0;5.0;5.0;5.0;2;20.0
hriest;3.0;3.0;2.0;2.0;2;10.0
hroiash;5.0;5.0;4.0;4.0;2;18.0
hydroath;4.0;3.0;3.0;3.0;2;13.0
hyuierly;1.0;2.0;3.0;1.0;2;7.0
kaidly;4.0;4.0;5.0;4.0;2;17.0
kheov;5.0;5.0;5.0;5.0;2;20.0
khoogs;3.0;4.0;1.0;3.0;2;11.0
khort;5.0;5.0;5.0;5.0;2;20.0
kiost;2.0;3.0;2.0;2.0;2;9.0
klaiord;4.0;4.0;4.0;4.0;2;16.0
klaofy;4.0;3.0;3.0;5.0;2;15.0
klauls;5.0;4.0;4.0;4.0;2;17.0
kloells;3.0;3.0;3.0;3.0;2;12.0
kneip;5.0;5.0;5.0;5.0;2;20.0
knith;2.0;4.0;2.0;1.0;2;9.0
knuif;5.0;5.0;5.0;5.0;2;20.0
kraald;3.0;3.0;2.0;3.0;2;11.0
kraiows;4.0;4.0;4.0;4.0;2;16.0
kraism;4.0;4.0;4.0;3.0;2;15.0
kruorly;3.0;5.0;5.0;4.0;2;17.0
kurk;3.0;4.0;3.0;3.0;2;13.0
kwuish;4.0;4.0;3.0;3.0;2;14.0
kwuiwn;4.0;4.0;4.0;4.0;2;16.0
laurth;3.0;3.0;4.0;3.0;2;13.0
leaucks;5.0;5.0;5.0;5.0;2;20.0
luints;4.0;3.0;3.0;4.0;2;14.0
mccaurr;4.0;4.0;4.0;4.0;2;16.0
mccloal;4.0;3.0;4.0;4.0;2;15.0
mccreaucs;5.0;5.0;5.0;5.0;2;20.0
mcdaib;2.0;2.0;3.0;3.0;2;10.0
mcduintz;3.0;3.0;4.0;4.0;2;14.0
mceft;3.0;3.0;4.0;2.0;2;12.0
mceirk;5.0;4.0;4.0;4.0;2;17.0
mcfaagh;4.0;3.0;3.0;3.0;2;13.0
mcgeaung;3.0;3.0;3.0;3.0;2;12.0
mciungs;4.0;4.0;4.0;4.0;2;16.0
mckuieys;3.0;4.0;3.0;4.0;2;14.0
mcliiwn;4.0;4.0;3.0;4.0;2;15.0
mcloiarst;5.0;5.0;5.0;5.0;2;20.0
mcmaack;4.0;5.0;4.0;4.0;2;17.0
mcmex;2.0;3.0;2.0;3.0;2;10.0
mcmook;4.0;3.0;4.0;3.0;2;14.0
mcmoorth;3.0;5.0;4.0;4.0;2;16.0
mcmuoys;2.0;2.0;1.0;3.0;2;8.0
mcnaack;3.0;3.0;3.0;3.0;2;12.0
mcneorry;2.0;3.0;2.0;3.0;2;10.0
mcniolly;5.0;4.0;4.0;5.0;2;18.0
nantly;3.0;4.0;4.0;4.0;2;15.0
niaps;3.0;4.0;3.0;3.0;2;13.0
niirn;3.0;3.0;1.0;4.0;2;11.0
peey;2.0;2.0;2.0;2.0;2;8.0
pfaubs;5.0;5.0;5.0;5.0;2;20.0
pfaugh;2.0;2.0;1.0;2.0;2;7.0
phaoll;4.0;4.0;3.0;3.0;2;14.0
phaols;5.0;5.0;5.0;5.0;2;20.0
physaiotts;4.0;3.0;3.0;4.0;2;14.0
physeings;4.0;5.0;5.0;4.0;2;18.0
physeobly;4.0;4.0;4.0;4.0;2;16.0
physieunds;4.0;5.0;5.0;5.0;2;19.0
physiud;4.0;4.0;2.0;4.0;2;14.0
ploont;3.0;4.0;4.0;3.0;2;14.0
posch;4.0;4.0;3.0;4.0;2;15.0
praiys;4.0;4.0;5.0;5.0;2;18.0
priouft;3.0;4.0;3.0;4.0;2;14.0
pruort;3.0;4.0;4.0;3.0;2;14.0
psychaants;2.0;2.0;3.0;2.0;2;9.0
psychiaown;4.0;4.0;4.0;2.0;2;14.0
psychieubs;2.0;2.0;1.0;1.0;2;6.0
puann;4.0;5.0;2.0;1.0;2;12.0
puass;3.0;3.0;2.0;2.0;2;10.0
qeatch;5.0;5.0;5.0;5.0;2;20.0
qeury;5.0;5.0;5.0;5.0;2;20.0
reorn;5.0;5.0;5.0;5.0;2;20.0
rhaesm;3.0;4.0;3.0;4.0;2;14.0
rhoisk;4.0;3.0;3.0;2.0;2;12.0
