id;bimanual_dexterity;depth_perception;efficiency;tissue_handling;rater;GRS
blaox;3.0;2.0;2.0;2.0;2;9.0
bliux;3.0;3.0;3.0;4.0;2;13.0
bloarr;3.0;3.0;3.0;3.0;2;12.0
blouf;3.0;3.0;3.0;4.0;2;13.0
bloufy;4.0;5.0;5.0;5.0;2;19.0
breest;3.0;3.0;3.0;3.0;2;12.0
breiacs;3.0;3.0;4.0;3.0;2;13.0
broeds;4.0;4.0;4.0;4.0;2;16.0
broiss;4.0;4.0;4.0;4.0;2;16.0
broun;3.0;3.0;3.0;3.0;2;12.0
buv;3.0;3.0;3.0;3.0;2;12.0
cheorly;3.0;3.0;4.0;4.0;2;14.0
chreex;3.0;3.0;3.0;4.0;2;13.0
chriath;3.0;3.0;3.0;3.0;2;12.0
chrieund;5.0;5.0;5.0;1.0;2;16.0
clieuh;2.0;2.0;2.0;2.0;2;8.0
cluerd;1.0;1.0;1.0;3.0;2;6.0
craaly;5.0;5.0;5.0;5.0;2;20.0
croiaps;4.0;3.0;3.0;3.0;2;13.0
cruarty;3.0;3.0;4.0;4.0;2;14.0
cyclaurs;2.0;2.0;2.0;2.0;2;8.0
cycliarn;3.0;3.0;3.0;3.0;2;12.0
cycloass;4.0;4.0;4.0;2.0;2;14.0
cycluts;3.0;3.0;3.0;4.0;2;13.0
cziaol;5.0;5.0;5.0;5.0;2;20.0
dact;3.0;3.0;3.0;3.0;2;12.0
diound;4.0;4.0;4.0;4.0;2;16.0
dries;4.0;4.0;4.0;4.0;2;16.0
driirg;1.0;2.0;2.0;2.0;2;7.0
driodly;4.0;4.0;4.0;4.0;2;16.0
driurst;4.0;4.0;4.0;4.0;2;16.0
druell;2.0;2.0;2.0;2.0;2;8.0
duegy;5.0;5.0;5.0;5.0;2;20.0
dwaiapt;4.0;4.0;3.0;2.0;2;13.0
dynieurr;2.0;2.0;2.0;1.0;2;7.0
dynoaly;2.0;2.0;1.0;3.0;2;8.0
dynoiarst;1.0;1.0;2.0;2.0;2;6.0
faings;3.0;3.0;3.0;3.0;2;12.0
flioub;3.0;3.0;3.0;3.0;2;12.0
freauf;3.0;3.0;3.0;3.0;2;12.0
fregh;4.0;4.0;4.0;4.0;2;16.0
friahl;3.0;3.0;4.0;4.0;2;14.0
froig;5.0;5.0;5.0;5.0;2;20.0
fusk;3.0;3.0;4.0;4.0;2;14.0
geums;5.0;5.0;4.0;5.0;2;19.0
geurd;3.0;3.0;3.0;2.0;2;11.0
ghaiah;3.0;4.0;3.0;3.0;2;13.0
ghaiocts;3.0;4.0;4.0;4.0;2;15.0
ghiarty;5.0;5.0;5.0;5.0;2;20.0
ghiath;4.0;4.0;3.0;4.0;2;15.0
ghoat;5.0;5.0;5.0;5.0;2;20.0
ghoobs;3.0;3.0;3.0;4.0;2;13.0
gleant;4.0;4.0;4.0;4.0;2;16.0
gleantly;2.0;3.0;3.0;3.0;2;11.0
glirth;3.0;3.0;2.0;3.0;2;11.0
gluodly;3.0;4.0;4.0;4.0;2;15.0
gnaect;5.0;5.0;5.0;5.0;2;20.0
gnants;3.0;2.0;2.0;3.0;2;10.0
gnauesly;4.0;5.0;5.0;5.0;2;19.0
gniom;3.0;3.0;3.0;3.0;2;12.0
haov;5.0;5.0;5.0;5.0;2;20.0
hroeng;4.0;4.0;4.0;4.0;2;16.0
hyaix;5.0;5.0;5.0;1.0;2;16.0
hyauegs;3.0;2.0;2.0;3.0;2;10.0
hydreolt;3.0;3.0;3.0;4.0;2;13.0
hypaom;3.0;4.0;4.0;2.0;2;13.0
hypiegs;4.0;4.0;5.0;5.0;2;18.0
jaioth;4.0;5.0;5.0;4.0;2;18.0
jousm;2.0;2.0;3.0;3.0;2;10.0
khoil;2.0;2.0;3.0;3.0;2;10.0
khoucks;3.0;4.0;3.0;4.0;2;14.0
khouss;3.0;4.0;4.0;4.0;2;15.0
klaub;3.0;3.0;3.0;3.0;2;12.0
kloutt;3.0;3.0;3.0;2.0;2;11.0
kluarry;4.0;5.0;5.0;4.0;2;18.0
kneiss;4.0;4.0;4.0;2.0;2;14.0
kniaks;3.0;4.0;4.0;4.0;2;15.0
knoasm;5.0;5.0;5.0;5.0;2;20.0
kreash;4.0;4.0;4.0;4.0;2;16.0
kreorts;3.0;3.0;3.0;3.0;2;12.0
kriaorts;3.0;3.0;3.0;3.0;2;12.0
kruef;2.0;2.0;3.0;3.0;2;10.0
kwiuch;3.0;3.0;3.0;3.0;2;12.0
kwuex;3.0;3.0;3.0;4.0;2;13.0
lietch;3.0;3.0;3.0;3.0;2;12.0
luihn;4.0;4.0;4.0;4.0;2;16.0
mccleauds;5.0;5.0;5.0;5.0;2;20.0
mccloork;4.0;5.0;5.0;5.0;2;19.0
mccruird;3.0;4.0;4.0;3.0;2;14.0
mccuy;3.0;3.0;3.0;3.0;2;12.0
mcdiirk;5.0;5.0;5.0;5.0;2;20.0
mcdird;3.0;3.0;3.0;3.0;2;12.0
mceausts;4.0;4.0;5.0;4.0;2;17.0
mcfeurds;5.0;5.0;4.0;5.0;2;19.0
mcgeost;3.0;3.0;4.0;3.0;2;13.0
mcgeurs;2.0;2.0;3.0;2.0;2;9.0
mciarty;4.0;4.0;4.0;4.0;2;16.0
mciuss;4.0;4.0;4.0;2.0;2;14.0
mckauech;3.0;4.0;4.0;3.0;2;14.0
mckauesch;3.0;3.0;3.0;3.0;2;12.0
mckeb;2.0;3.0;2.0;3.0;2;10.0
mckeeds;3.0;3.0;4.0;4.0;2;14.0
mckiird;3.0;4.0;4.0;1.0;2;12.0
mckiout;4.0;3.0;2.0;3.0;2;12.0
mckuieg;5.0;5.0;5.0;5.0;2;20.0
mcluirf;5.0;5.0;5.0;5.0;2;20.0
mcmaosh;5.0;5.0;5.0;5.0;2;20.0
mcmeiags;2.0;3.0;2.0;3.0;2;10.0
mcmiawn;2.0;2.0;2.0;4.0;2;10.0
mcmouft;2.0;2.0;3.0;1.0;2;8.0
mcnoem;2.0;2.0;1.0;2.0;2;7.0
mcnurs;3.0;3.0;3.0;3.0;2;12.0
miads;5.0;5.0;5.0;5.0;2;20.0
miirth;3.0;3.0;3.0;3.0;2;12.0
pains;3.0;4.0;3.0;4.0;2;14.0
pebly;2.0;3.0;2.0;3.0;2;10.0
peld;4.0;5.0;5.0;5.0;2;19.0
pfauert;5.0;4.0;5.0;4.0;2;18.0
pheirs;4.0;5.0;5.0;4.0;2;18.0
phialls;3.0;3.0;3.0;3.0;2;12.0
phoegs;3.0;3.0;2.0;3.0;2;11.0
physaioz;2.0;3.0;3.0;2.0;2;10.0
physeamp;3.0;4.0;4.0;2.0;2;13.0
ploetts;3.0;3.0;4.0;1.0;2;11.0
plogs;3.0;3.0;3.0;3.0;2;12.0
plows;2.0;2.0;1.0;3.0;2;8.0
preuld;2.0;2.0;3.0;2.0;2;9.0
psychuotts;1.0;1.0;2.0;1.0;2;5.0
qeosts;5.0;5.0;5.0;3.0;2;18.0
reauks;5.0;5.0;5.0;2.0;2;17.0
rheam;5.0;4.0;4.0;5.0;2;18.0
rheicy;3.0;4.0;4.0;2.0;2;13.0
rhieusp;3.0;3.0;4.0;3.0;2;13.0
sceufy;2.0;3.0;3.0;3.0;2;11.0
schiank;5.0;5.0;5.0;4.0;2;19.0
schiirs;3.0;3.0;4.0;2.0;2;12.0
schluagy;3.0;4.0;3.0;4.0;2;14.0
schmects;3.0;3.0;3.0;3.0;2;12.0
schmuorry;3.0;3.0;4.0;3.0;2;13.0
schnuiess;5.0;5.0;5.0;5.0;2;20.0
schrongly;2.0;3.0;2.0;3.0;2;10.0
schwaiorg;5.0;5.0;5.0;5.0;2;20.0
schwiaongs;3.0;3.0;3.0;3.0;2;12.0
schwoegh;3.0;2.0;3.0;2.0;2;10.0
scuerr;3.0;3.0;3.0;3.0;2;12.0
scuints;2.0;2.0;2.0;2.0;2;8.0
shreiarn;4.0;4.0;4.0;4.0;2;16.0
shroiank;3.0;4.0;4.0;4.0;2;15.0
shroigh;4.0;4.0;3.0;4.0;2;15.0
skeems;4.0;5.0;5.0;4.0;2;18.0
skiitt;2.0;2.0;2.0;2.0;2;8.0
skoards;2.0;3.0;3.0;1.0;2;9.0
skoock;4.0;5.0;5.0;1.0;2;15.0
slaacks;2.0;2.0;2.0;3.0;2;9.0
smiang;5.0;5.0;5.0;5.0;2;20.0
sneeft;3.0;3.0;3.0;4.0;2;13.0
soihn;4.0;4.0;4.0;2.0;2;14.0
spiity;4.0;4.0;5.0;2.0;2;15.0
spluerm;4.0;3.0;4.0;3.0;2;14.0
spraiok;2.0;3.0;3.0;3.0;2;11.0
squoz;2.0;2.0;1.0;3.0;2;8.0
srioms;1.0;2.0;1.0;1.0;2;5.0
staerm;2.0;2.0;2.0;2.0;2;8.0
staiaps;3.0;3.0;3.0;2.0;2;11.0
steety;3.0;3.0;3.0;3.0;2;12.0
streaucks;3.0;3.0;3.0;4.0;2;13.0
striaoc;2.0;3.0;2.0;2.0;2;9.0
strieurty;2.0;2.0;2.0;3.0;2;9.0
strioh;4.0;4.0;4.0;3.0;2;15.0
striurly;3.0;3.0;3.0;4.0;2;13.0
symbaapp;5.0;5.0;5.0;5.0;2;20.0
symbauerst;4.0;4.0;5.0;3.0;2;16.0
symbeiangs;4.0;4.0;5.0;5.0;2;18.0
symbiount;3.0;3.0;3.0;4.0;2;13.0
symboerf;3.0;3.0;4.0;3.0;2;13.0
symbuill;3.0;4.0;3.0;4.0;2;14.0
synuarg;4.0;4.0;5.0;4.0;2;17.0
szaoh;2.0;2.0;1.0;2.0;2;7.0
szioubs;4.0;4.0;4.0;4.0;2;16.0
thraongly;4.0;4.0;4.0;4.0;2;16.0
treix;3.0;3.0;3.0;2.0;2;11.0
trepp;4.0;4.0;4.0;2.0;2;14.0
triards;3.0;3.0;3.0;3.0;2;12.0
triuns;2.0;2.0;2.0;2.0;2;8.0
truoz;3.0;4.0;4.0;3.0;2;14.0
tsoidy;2.0;2.0;2.0;2.0;2;8.0
twearst;3.0;4.0;4.0;3.0;2;14.0
