id;bimanual_dexterity;depth_perception;efficiency;tissue_handling;rater;GRS
bault;5.0;4.0;5.0;3.0;3;17.0
bef;3.0;3.0;2.0;2.0;3;10.0
bik;4.0;4.0;4.0;3.0;3;15.0
bleong;;;;;3;
bleorn;3.0;4.0;4.0;4.0;3;15.0
bloihl;4.0;2.0;3.0;4.0;3;13.0
bloims;4.0;3.0;2.0;3.0;3;12.0
bluorly;3.0;3.0;2.0;3.0;3;11.0
boosly;3.0;3.0;2.0;4.0;3;12.0
brangs;3.0;2.0;1.0;3.0;3;9.0
buarty;;;;;3;
ceogs;4.0;3.0;3.0;4.0;3;14.0
ceops;4.0;4.0;3.0;3.0;3;14.0
chaiorts;5.0;5.0;3.0;4.0;3;17.0
cheax;4.0;3.0;2.0;2.0;3;11.0
chiaosly;4.0;4.0;4.0;3.0;3;15.0
chraengs;4.0;5.0;5.0;4.0;3;18.0
chraity;5.0;4.0;5.0;4.0;3;18.0
chriobly;3.0;2.0;1.0;3.0;3;9.0
chrucks;4.0;5.0;3.0;4.0;3;16.0
chruiemp;4.0;4.0;4.0;4.0;3;16.0
cleept;4.0;4.0;4.0;2.0;3;14.0
cleocy;5.0;4.0;3.0;4.0;3;16.0
cleorf;4.0;5.0;3.0;3.0;3;15.0
cliart;5.0;5.0;3.0;3.0;3;16.0
cloon;5.0;4.0;4.0;2.0;3;15.0
cluielt;4.0;3.0;3.0;2.0;3;12.0
coeks;4.0;5.0;3.0;4.0;3;16.0
creuck;4.0;4.0;3.0;3.0;3;14.0
cuehn;2.0;2.0;1.0;3.0;3;8.0
cuorts;4.0;4.0;3.0;3.0;3;14.0
cyclieur;;;;;3;
cycliud;4.0;4.0;4.0;4.0;3;16.0
cycluek;5.0;4.0;5.0;3.0;3;17.0
czaants;4.0;4.0;2.0;4.0;3;14.0
czoomp;4.0;4.0;3.0;3.0;3;14.0
dahn;5.0;4.0;3.0;3.0;3;15.0
deorn;;;;;3;
dioums;4.0;4.0;3.0;4.0;3;15.0
draurm;4.0;4.0;3.0;3.0;3;14.0
dreausly;4.0;5.0;4.0;2.0;3;15.0
dreocks;4.0;4.0;4.0;3.0;3;15.0
driects;5.0;5.0;4.0;3.0;3;17.0
dwaich;4.0;5.0;5.0;3.0;3;17.0
dwaps;4.0;4.0;4.0;3.0;3;15.0
dwauesp;4.0;4.0;3.0;4.0;3;15.0
dwounds;;;;;3;
dwuesch;5.0;4.0;3.0;3.0;3;15.0
dynoell;4.0;4.0;3.0;3.0;3;14.0
fauesm;4.0;4.0;3.0;4.0;3;15.0
foiaks;5.0;5.0;5.0;4.0;3;19.0
freild;4.0;3.0;3.0;2.0;3;12.0
friids;4.0;4.0;3.0;3.0;3;14.0
gaiary;5.0;5.0;3.0;3.0;3;16.0
geaks;4.0;4.0;4.0;4.0;3;16.0
geaur;4.0;4.0;4.0;2.0;3;14.0
ghoubs;5.0;4.0;3.0;2.0;3;14.0
ghouty;4.0;4.0;3.0;2.0;3;13.0
giosly;4.0;5.0;5.0;4.0;3;18.0
gioufy;4.0;4.0;3.0;4.0;3;15.0
gloax;3.0;4.0;3.0;3.0;3;13.0
gloey;3.0;3.0;2.0;3.0;3;11.0
gloull;2.0;2.0;1.0;3.0;3;8.0
gluerd;3.0;4.0;3.0;3.0;3;13.0
gluiest;5.0;4.0;4.0;3.0;3;16.0
gniet;3.0;4.0;3.0;4.0;3;14.0
gnihn;3.0;4.0;4.0;3.0;3;14.0
gnoand;;;;;3;
gnoedly;2.0;2.0;1.0;3.0;3;8.0
gnueg;;;;;3;
gooz;4.0;5.0;4.0;3.0;3;16.0
graiohn;2.0;2.0;1.0;2.0;3;7.0
hien;4.0;5.0;4.0;5.0;3;18.0
hoiaps;5.0;5.0;3.0;3.0;3;16.0
hraion;5.0;5.0;4.0;3.0;3;17.0
hriav;4.0;3.0;2.0;3.0;3;12.0
huarg;4.0;5.0;4.0;5.0;3;18.0
huing;4.0;5.0;3.0;3.0;3;15.0
hydreauts;4.0;4.0;3.0;3.0;3;14.0
hydreeds;4.0;4.0;4.0;3.0;3;15.0
hydroiw;3.0;4.0;2.0;2.0;3;11.0
hydruatts;3.0;4.0;3.0;3.0;3;13.0
hyioulls;;;;;3;
hyoeg;5.0;4.0;3.0;4.0;3;16.0
hyoord;5.0;4.0;4.0;4.0;3;17.0
hypeops;;;;;3;
hypoorty;5.0;4.0;4.0;4.0;3;17.0
hypuars;5.0;5.0;4.0;3.0;3;17.0
jauedy;5.0;4.0;5.0;4.0;3;18.0
jels;5.0;4.0;4.0;4.0;3;17.0
joeys;;;;;3;
juify;5.0;5.0;5.0;4.0;3;19.0
keiants;5.0;5.0;5.0;4.0;3;19.0
khiegy;5.0;4.0;5.0;4.0;3;18.0
kiann;4.0;5.0;4.0;5.0;3;18.0
kiaontz;5.0;5.0;5.0;4.0;3;19.0
kiecy;3.0;3.0;3.0;4.0;3;13.0
kiourf;3.0;4.0;3.0;4.0;3;14.0
klaests;4.0;4.0;3.0;4.0;3;15.0
klaoh;3.0;2.0;1.0;2.0;3;8.0
klauen;3.0;4.0;2.0;3.0;3;12.0
kleuft;4.0;2.0;3.0;3.0;3;12.0
klintz;5.0;4.0;4.0;5.0;3;18.0
kluosm;5.0;4.0;4.0;3.0;3;16.0
knaiangly;3.0;3.0;1.0;3.0;3;10.0
kneaulls;5.0;5.0;3.0;5.0;3;18.0
kniewn;3.0;4.0;2.0;3.0;3;12.0
knoags;5.0;4.0;4.0;2.0;3;15.0
kraiank;5.0;4.0;5.0;4.0;3;18.0
krengly;5.0;4.0;2.0;3.0;3;14.0
kreurm;3.0;2.0;1.0;4.0;3;10.0
kriaok;5.0;4.0;4.0;5.0;3;18.0
kriourn;4.0;5.0;3.0;3.0;3;15.0
kuangly;2.0;3.0;2.0;3.0;3;10.0
kweask;4.0;3.0;3.0;4.0;3;14.0
kweasm;4.0;3.0;3.0;3.0;3;13.0
kwiaoc;2.0;3.0;1.0;3.0;3;9.0
kwuf;4.0;4.0;3.0;3.0;3;14.0
lerd;4.0;4.0;3.0;3.0;3;14.0
lewn;4.0;4.0;3.0;4.0;3;15.0
loav;3.0;4.0;3.0;4.0;3;14.0
luierst;5.0;5.0;5.0;4.0;3;19.0
mcaiory;5.0;5.0;4.0;3.0;3;17.0
mcauesh;4.0;3.0;3.0;2.0;3;12.0
mccieuv;4.0;2.0;2.0;3.0;3;11.0
mccleery;5.0;4.0;5.0;3.0;3;17.0
mcclieg;5.0;5.0;4.0;3.0;3;17.0
mccliit;4.0;3.0;3.0;2.0;3;12.0
mccluahl;4.0;4.0;3.0;2.0;3;13.0
mccraingly;5.0;4.0;3.0;3.0;3;15.0
mccrouss;2.0;2.0;1.0;2.0;3;7.0
mccruow;5.0;5.0;4.0;3.0;3;17.0
mccruown;5.0;4.0;4.0;4.0;3;17.0
mcdeirf;4.0;4.0;4.0;3.0;3;15.0
mcdeoll;3.0;2.0;1.0;1.0;3;7.0
mcdoarly;4.0;4.0;3.0;3.0;3;14.0
mcduap;5.0;5.0;4.0;4.0;3;18.0
mcdutts;5.0;4.0;4.0;3.0;3;16.0
mcfaald;3.0;3.0;2.0;2.0;3;10.0
mcfaiagh;4.0;4.0;5.0;4.0;3;17.0
mcgeips;5.0;4.0;4.0;4.0;3;17.0
mcgeom;5.0;4.0;3.0;3.0;3;15.0
mcgiall;3.0;3.0;3.0;2.0;3;11.0
mckaety;4.0;5.0;4.0;4.0;3;17.0
mckaiot;5.0;4.0;3.0;3.0;3;15.0
mckiards;4.0;4.0;4.0;4.0;3;16.0
mckiolls;3.0;3.0;1.0;2.0;3;9.0
mclaiatz;3.0;3.0;2.0;2.0;3;10.0
mcliub;4.0;4.0;4.0;4.0;3;16.0
mclout;5.0;4.0;4.0;5.0;3;18.0
mcluays;5.0;4.0;4.0;4.0;3;17.0
mcmaods;3.0;3.0;2.0;3.0;3;11.0
mcmeauntz;4.0;4.0;5.0;3.0;3;16.0
mcmiaow;4.0;4.0;3.0;3.0;3;14.0
mcmiod;5.0;4.0;4.0;3.0;3;16.0
mcmoords;5.0;4.0;2.0;3.0;3;14.0
mcmunts;5.0;4.0;3.0;4.0;3;16.0
mcnaaws;4.0;3.0;2.0;3.0;3;12.0
mcnauk;3.0;3.0;3.0;4.0;3;13.0
mcnuantly;4.0;2.0;3.0;4.0;3;13.0
miaost;4.0;4.0;4.0;4.0;3;16.0
mih;4.0;3.0;1.0;2.0;3;10.0
moiarst;3.0;3.0;1.0;2.0;3;9.0
neesm;4.0;5.0;3.0;3.0;3;15.0
peauts;3.0;3.0;2.0;3.0;3;11.0
pfeills;4.0;4.0;4.0;4.0;3;16.0
pfeld;4.0;3.0;3.0;3.0;3;13.0
pferds;4.0;3.0;3.0;4.0;3;14.0
pfoight;5.0;4.0;5.0;3.0;3;17.0
pfualy;3.0;3.0;2.0;2.0;3;10.0
pfuicts;;;;;3;
pfuord;4.0;4.0;4.0;4.0;3;16.0
phiesk;4.0;3.0;3.0;3.0;3;13.0
phocks;5.0;5.0;4.0;4.0;3;18.0
phoiamp;;;;;3;
physaup;4.0;4.0;3.0;3.0;3;14.0
physuiedly;4.0;3.0;3.0;4.0;3;14.0
plaects;4.0;5.0;5.0;5.0;3;19.0
plaism;3.0;4.0;3.0;4.0;3;14.0
pliosh;4.0;3.0;3.0;4.0;3;14.0
praiangs;5.0;5.0;4.0;4.0;3;18.0
preaulls;3.0;2.0;1.0;3.0;3;9.0
preiv;5.0;4.0;4.0;4.0;3;17.0
prion;4.0;4.0;4.0;4.0;3;16.0
proesly;4.0;5.0;2.0;4.0;3;15.0
psychearst;3.0;2.0;1.0;2.0;3;8.0
psychoents;4.0;3.0;3.0;2.0;3;12.0
puasch;3.0;3.0;2.0;2.0;3;10.0
